Environment	Cummulative_Time	X	Z	rotation
Nature_Env	36.54749	-1.23742	3.514945	275.9725
Nature_Env	37.54953	-9.624686	8.79226	305.9726
Nature_Env	38.55001	-17.74739	14.62251	299.4504
Nature_Env	39.56216	-26.91881	18.58916	298.2963
Nature_Env	40.57565	-35.89999	23.42427	298.2963
Nature_Env	41.58994	-41.18304	26.26846	298.2963
Nature_Env	42.60207	-41.18304	26.26846	298.2963
Nature_Env	43.61584	-41.18304	26.26846	298.2963
Nature_Env	44.62124	32.88269	19.9	240
Nature_Env	45.63358	24.04924	14.8	240
Nature_Env	46.6439	15.38898	9.799998	240
Nature_Env	47.64486	6.72873	4.799997	240
Nature_Env	48.65612	-2.494945	4.362914	304.5132
Nature_Env	49.67046	-11.12559	9.75528	295.216
Nature_Env	50.6805	-20.17267	14.0156	295.216
Nature_Env	51.69164	-29.40069	18.36112	295.216
Nature_Env	52.7028	-38.44778	22.62144	295.216
Nature_Env	53.71554	-42.42849	24.49598	295.216
Nature_Env	54.72805	-42.42849	24.49598	295.216
Nature_Env	55.74094	-42.42849	24.49598	295.216
Nature_Env	56.75565	33.92192	20.5	240
Nature_Env	57.76759	25.08847	15.4	240
Nature_Env	58.77813	16.42821	10.4	240
Nature_Env	59.78725	7.106547	6.288498	247.6281
Nature_Env	60.78952	-2.345917	3.871589	290.7158
Nature_Env	61.79348	-10.97548	8.917631	300.7158
Nature_Env	62.80475	-19.58278	14.00823	300.3831
Nature_Env	63.80759	-28.67861	18.6184	298.0051
Nature_Env	64.81957	-37.50766	23.31391	298.0051
Nature_Env	65.83044	-41.56903	25.47384	298.0051
Nature_Env	66.84585	-41.56903	25.47384	298.0051
Nature_Env	67.86044	-41.56903	25.47384	298.0051
Nature_Env	68.8716	0	-28	0
Nature_Env	69.87567	0	-19.4	0
Nature_Env	70.89112	0	-19.4	0
Nature_Env	71.9035	0	-19.4	0
Nature_Env	72.90733	0	-9.400002	0
Nature_Env	73.91922	0	0.5999979	0
Nature_Env	74.92756	-1.303054	2.728464	305.4711
Nature_Env	75.93896	-10.0095	7.532594	292.6135
Nature_Env	76.9425	-19.14809	11.59065	297.1159
Nature_Env	77.94987	-27.78167	17.01908	302.437
Nature_Env	78.96413	-36.22149	22.38279	302.437
Environment	Cummulative_Time	X	Z	rotation
Nature_Env	7.746001	31.49705	19.1	240
Nature_Env	8.75499	22.6636	14	240
Nature_Env	9.760886	13.38406	10.2997	249.2807
Nature_Env	10.76136	4.046556	6.734522	249.2807
Nature_Env	11.77316	-5.059602	6.351877	302.4207
Nature_Env	12.78547	-13.69834	11.35598	294.884
Nature_Env	13.7961	-22.88168	15.7875	298.4259
Nature_Env	14.81161	-31.81367	20.27977	297.5544
Nature_Env	15.82384	-40.78759	25.12831	298.3986
Nature_Env	16.84026	-41.49132	25.5088	298.3986
Nature_Env	17.84103	-41.49132	25.5088	298.3986
Nature_Env	18.85146	-41.49132	25.5088	298.3986
Nature_Env	19.86382	32.01667	19.4	240
Nature_Env	20.86637	23.35641	14.4	240
Nature_Env	21.86826	14.69616	9.399998	240
Nature_Env	22.87974	5.734914	4.548872	246.0878
Nature_Env	23.89596	-3.711228	4.202449	301.2342
Nature_Env	24.90634	-12.26178	9.38782	301.2342
Nature_Env	25.91054	-20.81233	14.57319	301.2342
Nature_Env	26.92532	-29.94566	19.07192	293.5709
Nature_Env	27.93631	-38.78387	24.14167	301.1442
Nature_Env	28.94493	-41.35147	25.69325	301.1442
Nature_Env	29.95949	-41.35147	25.69325	301.1442
Nature_Env	30.97525	-41.35147	25.69325	301.1442
Nature_Env	31.99055	30.11141	18.3	240
Nature_Env	33.00115	21.27795	13.2	240
Nature_Env	34.01225	12.44421	8.100504	240.5031
Nature_Env	35.02404	3.417234	3.799696	245.7329
Nature_Env	36.03144	-6.377962	4.342844	279.8557
Nature_Env	37.03348	-15.6179	8.416749	312.8903
Nature_Env	38.04526	-22.94449	15.22272	312.8903
Nature_Env	39.05631	-30.4176	22.1648	312.8903
Nature_Env	40.06607	-38.31265	27.98616	312.8903
Nature_Env	41.06794	-41.53635	30.98079	312.8903
Nature_Env	42.08132	-41.53635	30.98079	312.8903
Nature_Env	43.09288	-41.53635	30.98079	312.8903
Nature_Env	44.09464	36.52	22	240
Nature_Env	45.10949	30.97744	18.8	240
Nature_Env	46.12294	21.96709	14.02905	243.5453
Nature_Env	47.13437	12.83516	9.485055	243.5453
Nature_Env	48.14673	3.882294	5.030158	243.5453
Nature_Env	49.14811	-5.196684	5.096098	307.31
Nature_Env	50.16314	-13.58512	10.87623	301.2735
Nature_Env	51.17951	-22.30305	16.17129	301.2735
Nature_Env	52.19301	-31.02098	21.46636	301.2735
Nature_Env	53.19862	-39.56797	26.6576	301.2735
Nature_Env	54.20339	-40.76455	27.38437	301.2735
Nature_Env	55.21513	-40.76455	27.38437	301.2735
Nature_Env	56.22686	-40.76455	27.38437	301.2735
Nature_Env	57.23801	31.49705	19.1	240
Nature_Env	58.24839	22.8368	14.1	240
Nature_Env	59.25992	14.00334	8.999998	240
Nature_Env	60.27096	5.343089	3.999997	240
Nature_Env	61.27316	-4.123171	5.186132	295.2462
Nature_Env	62.27624	-13.15596	9.475538	299.5356
Nature_Env	63.28894	-21.85645	14.40518	299.5356
Nature_Env	64.30276	-30.73096	19.43342	299.5356
Nature_Env	65.31556	-39.60546	24.46165	299.5356
Nature_Env	66.3191	-41.51957	25.54618	299.5356
Nature_Env	67.32945	-41.51957	25.54618	299.5356
Nature_Env	68.34193	-41.51957	25.54618	299.5356
Nature_Env	69.35611	0	-34	0
Nature_Env	70.36872	0	-34	0
Nature_Env	71.37485	0	-26.8	0
Nature_Env	72.38942	-0.1190078	-16.80339	356.4521
Nature_Env	73.40383	-0.7502148	-6.622937	356.4521
Nature_Env	74.41612	-1.109136	-0.8340539	356.4521
Nature_Env	75.42705	-1.109136	-0.8340539	356.4521
Nature_Env	76.4383	-1.109136	-0.8340539	356.4521
Nature_Env	77.4496	-1.109136	-0.8340539	356.4521
Nature_Env	78.46513	-1.109136	-0.8340539	356.4521
Nature_Env	79.47665	-1.109136	-0.8340539	356.4521
Nature_Env	80.49848	-3.740123	6.017199	317.7941
Nature_Env	81.51128	-12.41255	10.93209	297.7941
Nature_Env	82.52467	-21.43577	15.6883	297.7941
Nature_Env	83.5361	-30.45899	20.44451	297.7941
Nature_Env	84.54796	-39.30529	25.10746	297.7941
Office_Env	85.5489	-41.25147	26.13331	297.7941
Office_Env	86.56004	-41.25147	26.13331	297.7941
Office_Env	87.57302	-41.25147	26.13331	297.7941
Office_Env	88.58755	-41.25147	26.13331	297.7941
Office_Env	89.6003	-41.25147	26.13331	297.7941
Office_Env	90.60149	36.52	22	240
Office_Env	91.61535	36.52	22	240
Office_Env	92.62765	30.45782	18.5	240
Office_Env	93.63764	21.62436	13.4	240
Office_Env	94.64228	12.96411	8.399998	240
Office_Env	95.65781	4.130938	3.299506	239.5064
Office_Env	96.66994	1.115312	-5.536392	180.9075
Office_Env	97.6814	0.9048495	-15.73412	181.4203
Office_Env	98.69186	0.35376	-25.7144	184.9684
Office_Env	99.70308	0.1610302	-35.90479	179.69
Office_Env	100.7184	0.1913265	-41.50471	179.69
Office_Env	101.73	0.1913265	-41.50471	179.69
Office_Env	102.7435	0.1913265	-41.50471	179.69
Office_Env	103.7581	34.78795	21	240
Office_Env	104.7668	26.1277	16	240
Office_Env	105.7831	17.25593	10.96704	241.0167
Office_Env	106.7866	12.23199	8.494347	244.0602
Office_Env	107.7875	12.23199	8.494347	244.0602
Environment	Cummulative_Time	X	Z	rotation
Nature_Env	11.92751	36.52	22	240
Nature_Env	12.93629	36.52	22	240
Nature_Env	13.94537	28.03295	17.1	240
Nature_Env	14.95653	19.3727	12.1	240
Nature_Env	15.95896	10.53924	6.999998	240
Nature_Env	16.97267	2.052193	2.099997	240
Nature_Env	17.98701	2.052193	2.099997	283.8374
Nature_Env	18.99857	2.052193	2.099997	204.8615
Nature_Env	20.01011	2.052193	2.099997	245.782
Nature_Env	21.01177	1.669438	2.21618	286.8854
Nature_Env	22.01546	-6.986731	6.774795	312.1462
Nature_Env	23.02449	-16.33492	10.62826	296.5463
Nature_Env	24.0305	-24.98662	15.61845	302.5111
Nature_Env	25.04018	-33.58815	21.10058	302.5111
Nature_Env	26.0489	-41.34639	26.04524	302.5111
Nature_Env	27.06046	-41.34639	26.04524	302.5111
Nature_Env	28.06779	-41.34639	26.04524	302.5111
Nature_Env	29.07298	36.52	22	240
Nature_Env	30.08664	30.80423	18.7	240
Nature_Env	31.08677	22.14398	13.7	240
Nature_Env	32.11011	13.31052	8.599998	240
Nature_Env	33.115	4.650269	3.599997	240
Nature_Env	34.13299	-4.934999	4.549605	292.4113
Nature_Env	35.13451	-13.65613	9.425121	305.1581
Nature_Env	36.13483	-20.52368	14.26213	305.1581
Nature_Env	37.14478	-20.52368	14.26213	305.1581
